[ 2013-01-24T00:32:49+08:00 ] /thinkmao/Admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2013-01-24T00:32:57+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000318s ]
[ 2013-01-24T00:32:57+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_end ] --START--
[ 2013-01-24T00:32:57+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run ShowPageTrace Behavior [ RunTime:0.000039s ]
[ 2013-01-24T00:32:57+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_end ] --END-- [ RunTime:0.000067s ]
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ route_check ] --START--
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run CheckRoute Behavior [ RunTime:0.000122s ]
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000254s ]
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ app_begin ] --START--
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000074s ]
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000103s ]
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.019038s ]
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category`  [ RunTime:0.011024s ]
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SHOW COLUMNS FROM `hd_goods_type` [ RunTime:0.027075s ]
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_goods_type`  [ RunTime:0.014722s ]
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ view_template ] --START--
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000215s ]
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000333s ]
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ view_parse ] --START--
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in /var/www/html/thinkmao/Admin/Lib/TagLib/TagLibPic.class.php on line 17 and defined TagLib.class.php 第 111 行.
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [8] Undefined variable: str TagLibPic.class.php 第 50 行.
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in /var/www/html/thinkmao/Admin/Lib/TagLib/TagLibPic.class.php on line 17 and defined TagLib.class.php 第 111 行.
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [8] Undefined variable: str TagLibPic.class.php 第 67 行.
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in /var/www/html/thinkmao/Admin/Lib/TagLib/TagLibPic.class.php on line 78 and defined TagLib.class.php 第 111 行.
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in /var/www/html/thinkmao/Admin/Lib/TagLib/TagLibPic.class.php on line 78 and defined TagLib.class.php 第 111 行.
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run ParseTemplate Behavior [ RunTime:0.016661s ]
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016741s ]
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ view_filter ] --START--
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run ContentReplace Behavior [ RunTime:0.000197s ]
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run TokenBuild Behavior [ RunTime:0.000079s ]
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000034s ]
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000082s ]
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000475s ]
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ view_end ] --START--
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000049s ]
[ 2013-01-24T00:33:43+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000082s ]
[ 2013-01-24T00:33:53+08:00 ] /thinkmao/Admin.php/AddGood/attr | INFO: Tag[ route_check ] --START--
[ 2013-01-24T00:33:53+08:00 ] /thinkmao/Admin.php/AddGood/attr | INFO: Run CheckRoute Behavior [ RunTime:0.000130s ]
[ 2013-01-24T00:33:53+08:00 ] /thinkmao/Admin.php/AddGood/attr | INFO: Tag[ route_check ] --END-- [ RunTime:0.000283s ]
[ 2013-01-24T00:33:53+08:00 ] /thinkmao/Admin.php/AddGood/attr | INFO: Tag[ app_begin ] --START--
[ 2013-01-24T00:33:53+08:00 ] /thinkmao/Admin.php/AddGood/attr | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000063s ]
[ 2013-01-24T00:33:53+08:00 ] /thinkmao/Admin.php/AddGood/attr | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000089s ]
[ 2013-01-24T00:33:53+08:00 ] /thinkmao/Admin.php/AddGood/attr | SQL: SHOW COLUMNS FROM `hd_type_attr` [ RunTime:0.035936s ]
[ 2013-01-24T00:33:53+08:00 ] /thinkmao/Admin.php/AddGood/attr | SQL: SELECT * FROM `hd_type_attr` WHERE tid = 3  [ RunTime:0.010325s ]
[ 2013-01-24T00:33:53+08:00 ] /thinkmao/Admin.php/AddGood/brands | INFO: Tag[ route_check ] --START--
[ 2013-01-24T00:33:53+08:00 ] /thinkmao/Admin.php/AddGood/brands | INFO: Run CheckRoute Behavior [ RunTime:0.000071s ]
[ 2013-01-24T00:33:53+08:00 ] /thinkmao/Admin.php/AddGood/brands | INFO: Tag[ route_check ] --END-- [ RunTime:0.000189s ]
[ 2013-01-24T00:33:53+08:00 ] /thinkmao/Admin.php/AddGood/brands | INFO: Tag[ app_begin ] --START--
[ 2013-01-24T00:33:53+08:00 ] /thinkmao/Admin.php/AddGood/brands | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000055s ]
[ 2013-01-24T00:33:53+08:00 ] /thinkmao/Admin.php/AddGood/brands | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000086s ]
[ 2013-01-24T00:33:53+08:00 ] /thinkmao/Admin.php/AddGood/brands | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.000997s ]
[ 2013-01-24T00:33:53+08:00 ] /thinkmao/Admin.php/AddGood/brands | SQL: SELECT `id`,`pid` FROM `hd_category` WHERE id = 6 LIMIT 1   [ RunTime:0.000391s ]
[ 2013-01-24T00:33:53+08:00 ] /thinkmao/Admin.php/AddGood/brands | NOTIC: [8] Use of undefined constant id - assumed 'id' AddGoodAction.class.php 第 36 行.
[ 2013-01-24T00:33:53+08:00 ] /thinkmao/Admin.php/AddGood/brands | SQL: SELECT `id`,`pid` FROM `hd_category` WHERE id = 4 LIMIT 1   [ RunTime:0.000240s ]
[ 2013-01-24T00:33:53+08:00 ] /thinkmao/Admin.php/AddGood/brands | SQL: SHOW COLUMNS FROM `hd_brand` [ RunTime:0.140227s ]
[ 2013-01-24T00:33:53+08:00 ] /thinkmao/Admin.php/AddGood/brands | SQL: SELECT * FROM `hd_brand`  [ RunTime:0.001004s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000202s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000447s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000147s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000247s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000123s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000211s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.003551s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.003634s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000140s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000074s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000033s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000076s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000408s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000043s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000073s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ route_check ] --START--
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run CheckRoute Behavior [ RunTime:0.000071s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ route_check ] --END-- [ RunTime:0.000186s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ app_begin ] --START--
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000056s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000085s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_template ] --START--
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run LocationTemplate Behavior [ RunTime:0.000035s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_template ] --END-- [ RunTime:0.000063s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_parse ] --START--
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run ParseTemplate Behavior [ RunTime:0.001454s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_parse ] --END-- [ RunTime:0.001509s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_filter ] --START--
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run ContentReplace Behavior [ RunTime:0.000089s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run TokenBuild Behavior [ RunTime:0.000056s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000030s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run ShowRuntime Behavior [ RunTime:0.000082s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000338s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_end ] --START--
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run ShowPageTrace Behavior [ RunTime:0.000039s ]
[ 2013-01-24T00:34:23+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_end ] --END-- [ RunTime:0.000073s ]
[ 2013-01-24T00:34:26+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ route_check ] --START--
[ 2013-01-24T00:34:26+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run CheckRoute Behavior [ RunTime:0.000160s ]
[ 2013-01-24T00:34:26+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000387s ]
[ 2013-01-24T00:34:26+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ app_begin ] --START--
[ 2013-01-24T00:34:26+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000166s ]
[ 2013-01-24T00:34:26+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000245s ]
[ 2013-01-24T00:34:26+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.000996s ]
[ 2013-01-24T00:34:26+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category`  [ RunTime:0.000302s ]
[ 2013-01-24T00:34:26+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SHOW COLUMNS FROM `hd_goods_type` [ RunTime:0.000737s ]
[ 2013-01-24T00:34:26+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_goods_type`  [ RunTime:0.000304s ]
[ 2013-01-24T00:34:26+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ view_template ] --START--
[ 2013-01-24T00:34:26+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000089s ]
[ 2013-01-24T00:34:26+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000120s ]
[ 2013-01-24T00:34:26+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ view_parse ] --START--
[ 2013-01-24T00:34:26+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in /var/www/html/thinkmao/Admin/Lib/TagLib/TagLibPic.class.php on line 17 and defined TagLib.class.php 第 111 行.
[ 2013-01-24T00:34:26+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2013-01-24T00:34:26+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2013-01-24T00:34:26+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [8] Undefined variable: str TagLibPic.class.php 第 50 行.
[ 2013-01-24T00:34:26+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in /var/www/html/thinkmao/Admin/Lib/TagLib/TagLibPic.class.php on line 17 and defined TagLib.class.php 第 111 行.
